student_id,skill,exercise_id,response_time,correct,hint_count,attempt_count,time_interval
6173,least-common-multiple,2105,143,1,0,1,
6173,pattern-finding,1500,81.99999976,1,0,1,
6173,algebraic-manipulation,4566,104.0000005,1,0,1,
6173,circle-graph,1660,105.9999995,1,0,1,
6173,probability,2096,39.00000024,0,0,1,
6173,probability,2093,35.99999976,0,0,1,
6173,probability,2093,10.00000048,0,0,2,
6173,probability,2093,11,1,0,3,
6173,probability,2094,16.99999952,1,0,1,
6173,probability,2095,53.00000048,0,1,1,
6173,probability,2095,22.99999976,0,1,2,
6173,noskill,9003,104.9999995,0,1,1,
6173,noskill,9004,47.00000024,1,0,1,
6173,noskill,9005,17.99999976,1,0,1,
6173,noskill,9006,79.00000024,1,0,1,
6173,noskill,9007,14.99999976,1,0,1,
6173,noskill,8988,164,0,1,1,
6173,noskill,8989,26.00000048,1,0,1,
6173,noskill,8990,11,1,0,1,
6173,noskill,8703,92.99999976,0,1,1,
6173,noskill,8704,105,1,0,1,
6173,noskill,8705,54,1,0,1,
6173,noskill,8706,70.99999976,0,1,1,
6173,noskill,8707,66.00000024,1,0,1,
6173,noskill,8708,54,0,0,1,
6173,noskill,8708,10,1,0,2,
6173,noskill,8709,36.00000024,1,0,1,
6173,noskill,9314,94.99999952,1,0,1,
6173,noskill,9352,164,1,0,1,
6173,noskill,9345,75.00000048,1,0,1,
6173,noskill,9334,35.99999976,1,0,1,
6173,noskill,8703,9.000000238,0,2,2,
6173,noskill,8704,11.99999952,1,0,2,
6173,noskill,8705,13,1,0,2,
6173,noskill,9003,56.00000048,0,2,2,
6173,noskill,9003,121,0,1,1,
6173,noskill,9004,19,1,0,1,
6173,noskill,9005,8.999999762,1,0,1,
6173,noskill,9006,18.00000048,1,0,1,
6173,noskill,9007,14,1,0,1,
6173,noskill,9003,51.99999952,0,2,2,
6173,noskill,9004,21,1,0,2,
6173,noskill,9005,5.000000477,1,0,2,
6173,noskill,9006,3.999999762,1,0,2,
6173,noskill,9007,4.000000238,1,0,2,
6173,noskill,8706,80.99999952,0,1,1,
6173,noskill,8707,20.00000024,1,0,1,
6173,noskill,8708,20.00000024,1,0,1,
6173,noskill,8709,24,1,0,1,
6173,noskill,8988,71.99999976,0,1,1,
6173,noskill,8989,19,1,0,1,
6173,noskill,8990,10,1,0,1,
6173,noskill,9345,36.99999976,1,0,1,
6173,noskill,3623,48.00000048,1,0,1,
6173,noskill,9314,193,1,0,1,
6173,noskill,9352,116.9999995,0,0,1,
6173,noskill,9353,38.00000024,1,0,1,
6173,noskill,9354,39.00000024,1,0,1,
6173,noskill,9334,35,1,0,1,
6173,probability,2096,15.00000048,0,0,1,
6173,probability,2093,57.99999976,0,0,1,
6173,probability,2093,35,0,0,2,
6173,probability,2093,4.999999762,0,0,3,
6173,probability,2093,3.000000238,1,0,4,
6173,probability,2094,8,1,0,1,
6173,probability,2095,50.99999976,1,0,1,
6173,triangle-inequality,185,50.00000048,1,0,1,
6173,area,1301,189.9999998,0,0,1,
6173,properties-of-geometric-figures,1296,17.00000024,1,0,1,
6173,area-of-circle,1297,17.99999976,1,0,1,
6173,area-of-circle,1298,21,1,0,1,
6173,area,1299,15.00000024,1,0,1,
6173,area,1300,35.99999976,1,0,1,
6173,square-root,117,54,1,0,1,
6173,fraction-multiplication,1533,146.9999998,1,0,1,
6173,inducing-functions,677,133.0000002,0,0,1,
6173,pattern-finding,669,63.00000024,1,0,1,
6173,inducing-functions,677,485.9999998,0,0,1,
6173,pattern-finding,669,37,1,0,1,
6173,pattern-finding,670,17.99999976,0,0,1,
6173,pattern-finding,670,18.00000048,0,0,2,
6173,pattern-finding,670,17.99999976,1,0,3,
6173,pattern-finding,671,30,1,0,1,
6173,pattern-finding,672,14.99999976,1,0,1,
6173,pattern-finding,673,84.00000024,1,0,1,
6173,pattern-finding,674,17.00000024,1,0,1,
6173,pattern-finding,675,12.99999976,1,0,1,
6173,pattern-finding,676,37,1,0,1,
6173,pattern-finding,1501,318,1,0,1,
6173,discount,1189,103.0000002,0,0,1,
6173,discount,1186,21.99999952,1,0,1,
6173,discount,1187,31.00000024,0,0,1,
6173,discount,1187,16,0,0,2,
6173,discount,1187,21,0,0,3,
6173,discount,1187,39.00000024,0,0,4,
6173,discount,1187,70,1,0,5,
6173,discount,1188,51.99999952,1,0,1,
6173,equivalent-fractions-decimals-percents,907,64,0,0,1,
6173,equivalent-fractions-decimals-percents,905,21.00000048,1,0,1,
6173,equivalent-fractions-decimals-percents,906,32.99999952,0,0,1,
6173,equivalent-fractions-decimals-percents,906,5.000000477,1,0,2,
6173,evaluating-functions,1625,228.9999995,1,0,1,
6173,interpreting-linear-equations,2726,35,1,0,1,
6173,noskill,1363,170.0000002,1,0,1,
6173,square-root,894,33.99999976,1,0,1,
6173,inducing-functions,662,73,1,0,1,
6173,inducing-functions,639,98.00000024,0,0,1,
6173,equation-solving,634,25.00000024,1,0,1,
6173,equation-solving,635,13,1,0,1,
