student_id,skill,exercise_id,response_time,correct,hint_count,attemp_count,time_interval
1177,circle-graph,1263,102.9999995,0,1,1,
1177,simple-calculation,1259,17.00000024,1,0,1,
1177,simple-calculation,1260,11.99999976,1,0,1,
1177,circle-graph,1261,7.000000238,1,0,1,
1177,circle-graph,1262,14.00000024,1,0,1,
1177,finding-percents,1254,75,1,0,1,
1177,percent-of,810,43,1,0,1,
1177,proportion,822,20.99999976,1,0,1,
1177,division,603,27,0,1,1,
1177,division,598,64,1,0,1,
1177,division,599,63.00000024,1,0,1,
1177,division,600,41.99999976,1,0,1,
1177,division,601,50.00000024,1,0,1,
1177,pattern-finding,602,65.99999976,1,0,1,
1177,equation-solving,4383,56,1,0,1,
1177,noskill,4666,87.99999976,1,0,1,
1177,probability,4507,179.0000002,1,0,1,
1177,area,1301,138.0000002,0,1,1,
1177,properties-of-geometric-figures,1296,6.999999762,0,1,1,
1177,properties-of-geometric-figures,1296,25.00000024,0,1,2,
1177,properties-of-geometric-figures,1296,17.99999976,1,1,3,
1177,area-of-circle,1297,14.99999976,1,0,1,
1177,area-of-circle,1298,19,1,0,1,
1177,area,1299,20.00000024,0,0,1,
1177,area,1299,11.00000024,1,0,2,
1177,area,1300,24.99999952,1,0,1,
1177,graph-shape,1002,49,1,0,1,
1177,area-concept,1735,20.00000024,1,0,1,
1177,unit-conversion,1479,239,0,0,1,
1177,unit-conversion,1476,9.999999762,0,0,1,
1177,unit-conversion,1476,52.00000024,1,0,2,
1177,unit-conversion,1477,45,0,0,1,
1177,unit-conversion,1477,6,0,0,2,
1177,unit-conversion,1477,33.99999976,0,1,3,
1177,unit-conversion,1477,26.00000048,0,2,4,
1177,unit-conversion,1477,41.99999976,1,2,5,
1177,noskill,9796,20.99999976,0,1,1,
1177,unit-conversion,1479,62.99999952,0,1,1,
1177,unit-conversion,1476,309.9999995,0,0,3,
1177,unit-conversion,1476,16,0,0,1,
1177,unit-conversion,1476,116,0,0,2,
1177,unit-conversion,1476,15.00000024,0,0,4,
1177,unit-conversion,1476,35,1,0,5,
1177,unit-conversion,1477,65.00000024,0,0,1,
1177,unit-conversion,1477,41.99999976,0,0,2,
1177,unit-conversion,1477,9.999999762,0,0,3,
1177,unit-conversion,1477,78,0,1,4,
1177,unit-conversion,1477,58.00000048,0,1,5,
1177,unit-conversion,1477,103.9999998,0,2,6,
1177,unit-conversion,1477,20.99999976,0,2,7,
1177,unit-conversion,1477,13,0,2,8,
1177,unit-conversion,1477,4.000000238,0,3,9,
1177,unit-conversion,1477,9.000000238,1,3,10,
1177,unit-conversion,1478,89,1,0,1,
1177,congruence,4468,59.99999952,0,0,1,
1177,congruence,4464,29,1,0,1,
1177,perimeter,4465,7.000000238,1,0,1,
1177,equation-solving,4466,64,0,0,1,
1177,equation-solving,4466,6,0,1,2,
1177,equation-solving,4466,10,0,2,3,
1177,equation-solving,4466,20.00000024,0,3,4,
1177,equation-solving,4466,12.99999976,1,3,5,
1177,congruence,4467,18,1,0,1,
1177,properties-of-geometric-figures,1643,55.00000024,0,0,1,
1177,properties-of-geometric-figures,1643,11.99999952,0,0,2,
1177,properties-of-geometric-figures,1643,9.000000238,0,0,3,
1177,properties-of-geometric-figures,1643,2,1,0,4,
1177,evaluating-functions,2736,33.99999976,1,0,1,
1177,percent-of,78,161.0000005,0,1,1,
1177,venn-diagram,75,17.99999976,0,0,1,
1177,venn-diagram,75,21,0,0,2,
1177,venn-diagram,75,36.00000024,1,0,3,
1177,venn-diagram,76,55.99999976,0,0,1,
1177,venn-diagram,76,35,1,0,2,
1177,percent-of,77,30.00000024,0,0,1,
1177,percent-of,77,4.999999762,0,1,2,
1177,percent-of,77,25.99999976,0,1,3,
1177,percent-of,77,33.00000024,1,1,4,
1177,unit-conversion,1475,197.9999998,0,0,1,
1177,unit-conversion,9064,13,0,0,1,
1177,unit-conversion,9064,15.00000024,1,0,2,
1177,unit-conversion,9065,22.99999976,1,0,1,
1177,discount,4458,57.00000024,1,0,1,
1177,pythagorean-theorem,1503,25,0,1,1,
1177,pythagorean-theorem,1503,174,1,1,2,
1177,area-of-circle,1650,28.00000024,0,1,1,
1177,area-of-circle,9686,24.99999952,1,0,1,
1177,area-of-circle,9687,36.00000024,0,0,1,
1177,area-of-circle,9687,36.99999976,1,0,2,
1177,interpreting-numberline,482,52.00000024,1,0,1,
1177,making-sense-of-expressions-and-equations,912,29,0,1,1,
1177,making-sense-of-expressions-and-equations,910,55.99999976,1,0,1,
1177,making-sense-of-expressions-and-equations,911,18.00000048,1,0,1,
1177,pythagorean-theorem,1541,81,0,1,1,
1177,pythagorean-theorem,9369,40,0,1,1,
1177,pythagorean-theorem,9369,9.999999762,1,1,2,
1177,pythagorean-theorem,9370,213.0000002,0,0,1,
1177,pythagorean-theorem,9370,4.999999762,1,0,2,
1177,multiplication,2690,14.00000024,0,1,1,
1177,multiplication,2690,100.9999998,0,0,1,
1177,substitution,2686,35,1,0,1,
1177,multiplication,2687,17.00000024,1,0,1,
1177,substitution,2688,23.99999976,1,0,1,
1177,multiplication,2689,19.00000024,1,0,1,
1177,probability,2110,213,0,0,1,
1177,probability,2106,57.99999976,1,0,1,
1177,probability,2107,55.00000024,1,0,1,
1177,probability,2108,19.99999976,1,0,1,
1177,probability,2109,3,1,0,1,
1177,fractions,1674,68.99999976,1,0,1,
1177,area,4687,66.00000048,1,0,1,
1177,proportion,1125,135.9999995,1,0,1,
1177,area,1306,124.0000002,1,0,1,
1177,fraction-multiplication,1154,79.00000024,1,0,1,
1177,point-plotting,2719,86,1,0,1,
1177,noskill,4686,106.9999998,1,0,1,
1177,substitution,1136,73.99999976,1,0,1,
1177,finding-percents,1085,150.0000005,1,0,1,
1177,evaluating-functions,1625,192.9999998,1,0,1,
1177,algebraic-manipulation,1488,87.00000024,1,0,1,
1177,noskill,882,54.99999976,0,0,1,
1177,noskill,880,51,1,0,1,
1177,noskill,881,55.00000024,1,0,1,
1177,symbolization-articulation,347,103.9999998,0,0,1,
1177,symbolization-articulation,343,24,1,0,1,
1177,symbolization-articulation,344,36.00000024,0,0,1,
1177,symbolization-articulation,344,5.999999523,0,1,2,
1177,symbolization-articulation,344,33.00000024,0,1,3,
1177,symbolization-articulation,344,20.00000024,0,2,4,
1177,symbolization-articulation,344,38,1,2,5,
1177,symbolization-articulation,345,30.99999976,0,0,1,
1177,symbolization-articulation,345,8,0,1,2,
1177,symbolization-articulation,345,12.00000024,0,2,3,
1177,symbolization-articulation,345,14.99999976,1,2,4,
1177,symbolization-articulation,346,28.00000024,0,0,1,
1177,symbolization-articulation,346,46.99999976,1,0,2,
1177,probability,2080,50.00000024,1,0,1,
1177,ordering-numbers,936,36.99999976,1,0,1,
1177,properties-of-geometric-figures,1265,30.00000024,1,0,1,
1177,pattern-finding,3545,371.9999995,1,0,1,
1177,linear-area-volume-conversion,2345,72.00000048,0,0,1,
1177,linear-area-volume-conversion,2344,44.99999976,0,0,1,
1177,linear-area-volume-conversion,2344,8.999999762,0,0,2,
1177,linear-area-volume-conversion,2344,5.000000477,0,1,3,
1177,linear-area-volume-conversion,2344,13.99999952,0,1,4,
1177,linear-area-volume-conversion,2344,5.000000477,0,2,5,
1177,linear-area-volume-conversion,2344,19,0,2,6,
1177,linear-area-volume-conversion,2344,8,0,3,7,
1177,linear-area-volume-conversion,2344,10.99999952,0,3,8,
1177,linear-area-volume-conversion,2344,5.000000477,0,3,9,
1177,linear-area-volume-conversion,2344,3.999999762,0,4,10,
1177,linear-area-volume-conversion,2344,6,1,4,11,
1177,noskill,4674,41.00000024,0,0,1,
1177,noskill,4674,5.999999523,0,1,2,
1177,noskill,4674,19,1,1,3,
1177,graph-shape,997,27,0,0,1,
1177,graph-shape,992,24,1,0,1,
1177,graph-shape,993,14.00000024,1,0,1,
1177,graph-shape,994,9.000000238,1,0,1,
1177,graph-shape,995,9.999999762,1,0,1,
1177,graph-shape,996,17.99999976,1,0,1,
1177,multiplying-decimals,1031,101.0000002,1,0,1,
1177,square-root,41,107,1,0,1,
1177,algebraic-manipulation,4566,33.99999976,0,0,1,
1177,algebraic-manipulation,4563,32.00000048,1,0,1,
1177,algebraic-manipulation,4564,16,1,0,1,
1177,algebraic-manipulation,4565,16,1,0,1,
1177,median,1059,81.99999976,1,0,1,
1177,triangle-inequality,1563,85.99999976,0,0,1,
1177,triangle-inequality,1563,13,1,0,2,
1177,equivalent-fractions-decimals-percents,926,59,0,0,1,
1177,equivalent-fractions-decimals-percents,924,22,1,0,1,
1177,fraction-multiplication,925,11.00000024,1,0,1,
1177,scientific-notation,4514,23.00000024,1,0,1,
1177,inducing-functions,733,137.9999995,0,1,1,
1177,addition,727,37.00000048,1,0,1,
1177,addition,728,29,1,0,1,
1177,addition,729,22,1,0,1,
1177,addition,730,14.99999976,1,0,1,
1177,inducing-functions,731,43,0,0,1,
1177,inducing-functions,731,5,1,0,2,
1177,equation-solving,732,23.00000024,1,0,1,
1177,probability,2100,140.9999998,1,0,1,
1177,transformations-rotations,1319,41,0,0,1,
1177,transformations-rotations,1319,14.00000024,1,0,2,
1177,interpreting-linear-equations,4541,51,0,0,1,
1177,interpreting-linear-equations,4536,23.99999976,0,0,1,
1177,interpreting-linear-equations,4536,6.999999762,1,0,2,
1177,interpreting-linear-equations,4537,54.00000024,0,0,1,
1177,interpreting-linear-equations,4537,12.00000024,0,0,2,
1177,interpreting-linear-equations,4537,5.999999523,0,1,3,
1177,interpreting-linear-equations,4537,18.00000048,1,1,4,
1177,interpreting-linear-equations,4538,19.99999952,0,1,1,
1177,interpreting-linear-equations,4538,15.00000048,1,1,2,
1177,interpreting-linear-equations,4539,6.999999762,1,0,1,
1177,interpreting-linear-equations,4540,23.00000024,1,0,1,
1177,transformations-rotations,1285,89.99999976,1,0,1,
1177,integers,789,24,1,0,1,
1177,equation-concept,1159,71.99999976,0,0,1,
1177,equation-concept,1155,20.00000024,1,0,1,
1177,p-patterns-relations-algebra,1156,21,1,0,1,
1177,equation-concept,1157,17.99999976,0,0,1,
1177,equation-concept,1157,20.00000024,1,0,2,
1177,equation-concept,1158,12.00000024,1,0,1,
1177,evaluating-functions,2685,49.99999976,1,0,1,
1177,equivalent-fractions-decimals-percents,2063,68.99999976,1,0,1,
1177,sum-of-interior-angles-triangle,1648,69.00000048,1,0,1,
1177,discount,166,84.99999976,1,0,1,
1177,unit-conversion,1283,84,1,0,1,
1177,rate,1624,56,1,0,1,
1177,percents,940,84.99999976,1,0,1,
1177,inducing-functions,223,66.00000024,1,0,1,
1177,percent-of,1080,88,0,1,1,
1177,n-number-sense-operations,1076,15.00000024,1,0,1,
1177,n-number-sense-operations,1077,8,1,0,1,
1177,n-number-sense-operations,1078,13,1,0,1,
1177,n-number-sense-operations,1079,4.999999762,1,0,1,
1177,probability,2073,202.9999998,0,1,1,
1177,probability,2069,35,1,0,1,
1177,probability,2070,17.00000024,1,0,1,
1177,probability,2071,28.00000024,0,0,1,
1177,probability,2071,6.999999762,0,0,2,
1177,probability,2071,4.000000238,0,1,3,
1177,probability,2071,13,0,2,4,
1177,probability,2071,35.99999952,0,2,5,
1177,probability,2073,97.99999976,0,1,1,
1177,probability,2069,30,1,0,1,
1177,probability,2070,8,1,0,1,
1177,probability,2071,25.00000024,0,0,1,
1177,probability,2071,19,0,0,2,
1177,probability,2071,1.000000238,0,1,3,
1177,probability,2071,35.99999952,0,2,4,
1177,probability,2071,19.00000024,0,2,5,
1177,probability,2071,12.99999976,0,2,6,
1177,probability,2071,48,1,2,7,
1177,probability,2072,8.000000477,0,0,1,
1177,probability,2072,10.99999952,0,0,2,
1177,probability,2072,14,1,0,3,
1177,comparing-fractions,1069,66.00000048,1,0,1,
1177,median,2267,94.99999952,1,0,1,
1177,symbolization-articulation,356,62,1,0,1,
1177,divide-decimals,436,72.00000048,1,0,1,
1177,isosceles-triangle,61,107.9999995,1,0,1,
1177,venn-diagram,4517,36.00000024,0,1,1,
1177,venn-diagram,4515,14.00000024,1,0,1,
1177,venn-diagram,4516,19,1,0,1,
1177,mean,2264,41.99999976,1,0,1,
1177,properties-of-geometric-figures,1176,33,1,0,1,
1177,inducing-functions,639,43.99999976,0,0,1,
1177,equation-solving,634,18.00000048,1,0,1,
1177,equation-solving,635,8,1,0,1,
1177,symbolization-articulation,636,19,0,0,1,
1177,symbolization-articulation,636,5.999999523,1,0,2,
1177,inducing-functions,638,15.00000024,1,0,1,
1177,circle-graph,1022,48,0,0,1,
1177,graph-shape,997,103.0000002,0,0,1,
1177,graph-shape,992,19.99999952,1,0,1,
1177,graph-shape,993,14.00000024,1,0,1,
1177,graph-shape,994,7.000000238,1,0,1,
1177,graph-shape,995,5.999999523,1,0,1,
1177,graph-shape,996,5,1,0,1,
1177,percents,4525,99.00000048,0,0,1,
1177,percents,4523,9.999999762,1,0,1,
1177,percents,4524,8,1,0,1,
1177,point-plotting,5,73.00000024,1,0,1,
1177,probability,4522,143.9999995,1,0,1,
1177,discount,166,53.00000048,1,0,1,
1177,noskill,1363,191.9999998,0,1,1,
1177,noskill,1360,17.00000024,1,0,1,
1177,noskill,1361,49.99999952,0,0,1,
1177,noskill,1361,7.000000477,0,1,2,
1177,noskill,1361,46.99999976,1,1,3,
1177,noskill,1362,55.99999976,1,0,1,
1177,pythagorean-theorem,131,86,0,1,1,
1177,pythagorean-theorem,127,37.00000048,1,0,1,
1177,pythagorean-theorem,128,33.99999976,1,0,1,
1177,pythagorean-theorem,129,135.0000002,0,1,1,
1177,pythagorean-theorem,129,54,0,2,2,
1177,pythagorean-theorem,129,20.99999976,0,3,3,
1177,pythagorean-theorem,129,14.00000024,0,4,4,
1177,pythagorean-theorem,129,5.999999523,0,5,5,
1177,pythagorean-theorem,129,12.00000024,1,5,6,
1177,pythagorean-theorem,130,17.00000024,1,0,1,
1177,noskill,9153,17.99999976,0,1,1,
1177,noskill,9154,30.00000024,0,0,1,
1177,noskill,9154,6,0,1,2,
1177,noskill,9154,5,0,2,3,
1177,noskill,9154,6.999999762,1,2,4,
1177,noskill,9155,14.99999976,0,1,1,
1177,noskill,9155,10.00000048,1,1,2,
1177,noskill,9156,8,0,0,1,
1177,noskill,9156,27.99999952,0,1,2,
1177,noskill,9156,22,0,1,3,
1177,noskill,9156,7.000000477,1,1,4,
